architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
16q-square,genetic_steiner,50.0,100.0,0.8,0.2,4.0,4.0,9.66623363494873,9.622190475463867,8.75,8.0,12.09116189479828,11.948505759239197,24.4,23.0,18.24532268047333,17.453049063682556,73.05,72.0,33.80996745824814,33.16511845588684,141.05,143.5,56.679309237003324,57.408846974372864,163.6,165.0,64.19405745267868,63.77586364746094,166.4,167.5,56.80618133544922,56.91719615459442
16q-square,quilc,-1.0,-1.0,-1.0,-1.0,6.15,5.5,0.6249955654144287,0.40396499633789057,18.9,18.0,1.4918466210365295,1.407158374786377,48.7,46.5,3.0436997175216676,2.9893500804901123,106.05,103.0,6.399717211723328,6.348500370979309,227.2,227.5,13.96370370388031,14.066304922103882,457.4736842105263,455.0,28.95892899914792,28.868846654891968,924.2,923.0,47.67702921628952,47.64563715457916
16q-square,steiner,-1.0,-1.0,-1.0,-1.0,30.1,29.5,0.012727594375610352,0.011659979820251465,65.9,64.0,0.01685835123062134,0.015900850296020508,91.1,88.0,0.02522914409637451,0.01899588108062744,153.95,158.5,0.032649457454681396,0.03220844268798828,196.45,198.5,0.034151554107666016,0.03163576126098633,204.8,204.5,0.03790073394775391,0.037296295166015625,198.5,197.0,0.05308719873428345,0.05343472957611084
