architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
ibm_qx5,genetic_steiner,50.0,100.0,0.8,0.2,4.0,4.0,7.087512874603272,6.817503333091736,8.95,8.0,10.379520881175996,10.283834099769592,26.55,26.0,15.845415365695953,15.66411292552948,84.4,82.0,32.647020959854125,33.355457186698914,152.65,149.0,54.02221412658692,53.9309858083725,188.25,191.5,67.838538646698,68.50027000904083,193.8,196.0,76.37049061059952,73.08477210998535
ibm_qx5,quilc,-1.0,-1.0,-1.0,-1.0,6.75,7.0,1.1777355909347533,0.5231527090072632,23.7,23.0,1.3245161294937133,1.1525198221206665,60.36842105263158,61.0,2.96185733142652,2.9451732635498047,140.05,136.0,7.064926636219025,6.5653440952301025,301.05263157894734,295.0,15.082343114049811,15.029449224472046,600.9,596.5,31.24865131378174,32.021156668663025,1247.8,1244.0,54.73401415348053,55.12974500656128
ibm_qx5,steiner,-1.0,-1.0,-1.0,-1.0,33.0,29.0,0.020071864128112793,0.01786220073699951,87.6,83.0,0.029383420944213867,0.02863478660583496,110.7,117.5,0.03174148797988892,0.031763911247253425,179.6,182.0,0.042782151699066163,0.03476393222808838,231.05,234.0,0.09168200492858887,0.08127927780151367,242.7,244.0,0.055005443096160886,0.05351686477661133,242.65,239.5,0.06462128162384033,0.05904734134674072
