architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
16q-square,genetic_steiner,50.0,100.0,0.8,0.2,4.0,4.0,12.382631075382232,12.146362781524658,9.2,8.0,14.690471518039704,14.05747652053833,24.5,25.0,20.836476826667784,20.926891446113586,74.0,74.5,42.573172342777255,39.508503675460815,138.35,139.5,66.16189218759537,64.76240360736847,163.25,164.0,68.96363608837127,69.41785085201263,165.15,166.0,72.3435926437378,71.68752825260162
16q-square,quilc,-1.0,-1.0,-1.0,-1.0,6.1,5.5,1.394904124736786,0.45804452896118164,17.75,17.0,1.8421418786048889,1.735398292541504,43.3,42.5,3.4062025904655457,3.3360919952392574,98.15,99.0,6.42256635427475,6.2257949113845825,209.15,208.0,13.700869882106781,13.566808223724365,435.7368421052632,436.0,30.754985834422865,30.41460704803467,887.55,882.0,52.66320977210999,53.22491240501404
16q-square,steiner,-1.0,-1.0,-1.0,-1.0,30.1,29.5,0.025243771076202393,0.0212397575378418,65.9,64.0,0.043750298023223874,0.03745317459106445,91.1,88.0,0.04609493017196655,0.04242122173309326,153.95,158.5,0.0519906759262085,0.04921865463256836,196.45,198.5,0.02519160509109497,0.022037982940673828,204.8,204.5,0.029358100891113282,0.027875900268554688,198.5,197.0,0.04010394811630249,0.03799545764923096
