architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
rigetti_16q_aspen,genetic_steiner,50.0,100.0,0.8,0.2,4.05,4.0,3.6468762874603273,3.6338053941726685,10.95,10.0,5.055189394950867,5.12772274017334,33.95,33.0,8.506637418270111,8.51538348197937,101.75,99.5,17.94827891588211,17.59799337387085,189.15,186.5,27.836757326126097,27.718381881713867,220.75,222.0,32.432385218143466,32.54206097126007,222.15,224.5,32.97360050678253,32.93102049827576
rigetti_16q_aspen,quilc,-1.0,-1.0,-1.0,-1.0,7.05,7.0,0.45546512603759765,0.3370401859283447,28.2,27.0,1.3818247079849244,1.4038981199264526,69.15,70.5,3.0629069328308107,3.1324836015701294,147.3,151.5,5.930026757717132,6.068432569503784,324.6,320.0,12.802996969223022,12.950552582740784,664.65,669.0,24.692881989479066,23.63033664226532,1367.8947368421052,1373.0,52.35961481144554,51.92199492454529
rigetti_16q_aspen,steiner,-1.0,-1.0,-1.0,-1.0,62.4,62.5,0.0024199724197387696,0.0024385452270507812,114.9,115.0,0.0041583657264709474,0.004075407981872559,167.55,167.5,0.006607723236083984,0.006727457046508789,215.1,224.5,0.008657109737396241,0.008939862251281738,257.4,259.0,0.010576188564300537,0.010843157768249512,270.7,269.5,0.012778842449188232,0.012263894081115723,271.25,271.5,0.01391596794128418,0.013635396957397463
