architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
ibm_q20_tokyo,genetic_steiner,50,50,0.8,0.2,4.0,4.0,5.044628059864044,5.016606569290161,7.85,8.0,7.994700837135315,7.807332396507263,22.0,21.0,12.528137814998626,12.613041281700134,72.75,73.0,20.95706773996353,21.13205981254578,166.7,168.5,24.666345381736754,24.358253002166748,240.7,242.5,33.34908881187439,33.49919867515564,247.3,248.0,38.92479568719864,38.08113658428193
ibm_q20_tokyo,genetic_steiner,50,100,0.8,0.2,4.0,4.0,9.652955579757691,9.530668377876282,7.6,8.0,13.96623628139496,13.881999135017395,20.3,20.0,20.790888953208924,20.756985664367676,69.5,69.0,38.22261391878128,37.26652181148529,171.65,169.5,47.15405679941178,47.14984703063965,238.95,239.0,66.0723920583725,66.53602516651154,245.35,249.0,91.12484298944473,94.18418288230896
ibm_q20_tokyo,genetic_steiner,50,150,0.8,0.2,4.0,4.0,14.994348621368408,14.65969979763031,7.6,8.0,20.599986469745637,20.755093812942505,21.1,21.0,25.241343426704407,25.041127920150757,71.25,72.0,50.88101900815964,48.932751178741455,165.9,167.0,68.19455217123031,67.18800175189972,240.5,243.5,95.48752709627152,96.6524269580841,248.05,251.0,177.91344972848893,174.82446110248566
ibm_q20_tokyo,genetic_steiner,75,50,0.8,0.2,4.0,4.0,26.17547799348831,27.04180073738098,7.65,8.0,11.749623930454254,11.570358157157898,20.8,20.0,13.54969506263733,13.368958353996277,68.95,70.0,25.673721873760222,25.70137894153595,169.05,170.0,36.86275420188904,36.95082080364227,238.05,239.5,49.76224991083145,49.86458075046539,247.9,247.0,84.42957780361175,84.40998995304108
ibm_q20_tokyo,genetic_steiner,75,100,0.8,0.2,4.0,4.0,16.6041029214859,15.508728265762329,7.9,8.0,20.358303368091583,20.282751083374027,19.6,19.5,29.33992725610733,29.383084654808044,65.7,64.5,45.05347852706909,44.3120219707489,165.25,167.0,69.28422938585281,69.61623466014862,235.4,236.5,95.13058639764786,95.9181923866272,245.2,245.5,155.34883790016175,157.39390516281128
ibm_q20_tokyo,genetic_steiner,75,150,0.8,0.2,4.0,4.0,22.005043709278105,21.853917479515076,7.75,8.0,24.813679695129395,24.952151656150818,19.35,19.0,42.5286881685257,42.17525827884675,64.35,61.5,58.8573437333107,55.86697292327881,169.2,172.5,103.15348469018936,105.19654309749603,235.65,237.5,645.6615960478782,155.12626910209656,244.7,244.5,179.1700619339943,167.228973031044
ibm_q20_tokyo,genetic_steiner,100,50,0.8,0.2,4.0,4.0,10.688989067077637,10.354827046394348,7.65,8.0,12.55020468235016,12.539429664611816,20.75,20.0,23.050752770900726,23.12265706062317,65.85,67.5,26.944905710220336,25.94482660293579,159.85,160.5,49.09257982969284,48.72464907169342,235.25,236.0,173.81313573122026,85.3781156539917,245.65,248.0,101.4394170165062,100.71958673000336
ibm_q20_tokyo,genetic_steiner,100,100,0.8,0.2,4.0,4.0,29.569721472263335,30.075287222862244,7.65,8.0,23.40480819940567,23.244889616966248,19.2,18.5,38.96085749864578,38.45717740058899,60.2,58.5,46.103144192695616,45.729987382888794,165.75,169.0,92.12868691682816,91.86942315101624,237.55,240.5,197.14485963582993,186.71359276771545,243.75,243.0,201.11163655519485,202.0374104976654
ibm_q20_tokyo,genetic_steiner,100,150,0.8,0.2,4.0,4.0,36.928533053398134,37.028767466545105,7.65,8.0,44.614836192131044,43.000826358795166,19.55,19.5,55.351645302772525,55.84933650493622,62.15,59.5,67.17597995996475,66.83694481849669,160.3,158.5,133.43421145677567,133.42775297164917,236.6,234.5,238.25651642084122,222.12899827957153,245.1,245.5,273.67493003606796,277.831157207489
